title,review_year,age,children_in_home,education,gender,reviewer_type,work_status,genre,release_year,length_minutes,season,total_reviews,rating,review_text,word_count,review_year_0,release_year_0,age_sc,length_minutes_sc,total_reviews_sc,word_count_sc,rating_good
Frozen in Time,2007,26,2,Post-Graduate,female,Viewer,Employed,Drama,1984,141,Winter,2736,2.8,A middle-of-the-road watch that left me feeling neutral.,11,7,1,-1.1452888262783694,1.734928157222843,-0.7701998546991498,0.1352893652930127,0
Eternal Sunshine,2021,59,2,Post-Graduate,female,Viewer,Employed,Drama,2017,142,Summer,4603,5.0,An enchanting story that will warm your soul.,8,21,34,0.6609014373864428,1.821683240592322,-0.1123174719311174,-0.4563550893411536,1
Echoes of Eternity,2011,18,1,Completed College,male,Viewer,Student,Drama,1998,126,Summer,7245,4.1,Filled with wonder and moments of sheer brilliance.,8,11,15,-1.5831531326213542,0.4336019066806568,0.8186548126286796,-0.4563550893411536,1
Dark Descent,2019,50,0,Post-Graduate,female,Viewer,Employed,Horror,2015,111,Spring,2185,2.3,An uninspired and regrettable mess that left me unsatisfied.,9,19,32,0.1683040927505849,-0.8677243438615293,-0.9643579655214238,-0.2591402711297649,0
Shattered Illusions,2017,80,0,Completed High School,female,Critic,Employed,Drama,2013,98,Fall,8485,2.7,"I found this movie to be utterly disappointing, with a plot that made no sense, and characters I couldn't care less about. Avoid it.",25,17,30,1.8102952415367777,-1.9955404276647573,1.2555986554955034,2.8962968202524557,0
Forgotten Realms,2013,40,1,Completed College,male,Viewer,Employed,Drama,2013,129,Summer,3337,3.7,Stellar performances and an unforgettable storyline.,6,13,30,-0.379026290178146,0.693867156789094,-0.5584230405354714,-0.8507847257639313,1
Mystic Whispers,2010,64,0,Completed High School,female,Critic,Employed,Drama,2010,122,Summer,857,2.8,A movie that failed to make a memorable impression.,9,10,27,0.9345666288508082,0.0865815732027405,-1.432310726269119,-0.2591402711297649,0
Midnight Shadows,2020,45,0,Post-Graduate,female,Critic,Employed,Horror,1995,140,Summer,4464,2.7,A film that left me bewildered and utterly uninterested.,9,20,12,-0.1053610987137805,1.6481730738533638,-0.1612974672202211,-0.2591402711297649,0
Wanderlust,2010,73,0,Completed College,male,Viewer,Retired,Other,1998,112,Summer,3716,2.6,Awful plot.,2,10,15,1.427163973486666,-0.7809692604920502,-0.4248732692076277,-1.6396439986094864,0
Heartstrings,2008,78,0,Post-Graduate,male,Viewer,Retired,Romance,1991,123,Summer,5066,3.0,"It's an average movie, nothing to rave about.",9,8,8,1.7008291649510314,0.1733366565722195,0.0508317210102852,-0.2591402711297649,1
The Last Crusade,2016,64,0,Post-Graduate,male,Critic,Employed,Action/Adventure,2015,106,Winter,4492,2.3,"I found this movie to be utterly disappointing, with a plot that made no sense, and characters I couldn't care less about. Avoid it.",25,16,32,0.9345666288508082,-1.3014997607089247,-0.1514309933490348,2.8962968202524557,0
Whispers of Fate,2016,65,0,Completed High School,male,Critic,Employed,Drama,2009,102,Fall,8887,2.2,I wouldn't wish this movie on my worst enemy. It was a painful experience from start to finish.,19,16,26,0.9892996671436812,-1.648520094186841,1.397253030360393,1.713007910984123,0
Cursed Kingdom,2021,57,0,Completed College,male,Viewer,Employed,Drama,2000,131,Summer,5101,3.5,Astonishingly well done.,3,21,17,0.5514353608006966,0.8673773235280522,0.0631648133492681,-1.4424291803980978,1
Mystic Whispers,2021,37,0,Post-Graduate,female,Viewer,Employed,Drama,2010,122,Summer,857,3.3,An average outing that didn't fully connect.,8,21,27,-0.5432254050567653,0.0865815732027405,-1.432310726269119,-0.4563550893411536,1
The Last Crusade,2014,21,1,Post-Graduate,female,Viewer,Student,Action/Adventure,2015,106,Winter,4492,2.9,"I didn't love it, but I didn't hate it either. It didn't exceed my expectations.",18,14,32,-1.4189540177427349,-1.3014997607089247,-0.1514309933490348,1.5157930927727343,0
Crimson Echoes,2017,20,0,Post-Graduate,male,Viewer,Employed,Drama,1995,139,Fall,955,3.4,A movie that lacked the depth I was hoping for.,10,17,12,-1.473687056035608,1.5614179904838847,-1.3977780677199667,-0.061925452918376,1
Journey to the Unknown,2018,23,0,Completed High School,male,Viewer,Student,Action/Adventure,2000,107,Summer,2537,2.7,A misfire that lacked direction and purpose. Avoid at all costs.,11,18,17,-1.3094879411569886,-1.2147446773394457,-0.8403222939979385,0.1352893652930127,0
Realm of Legends,2015,45,0,Completed College,female,Viewer,Unemployed,Action/Adventure,1996,116,Summer,7968,3.6,A stunning testament to the power of cinema.,8,15,13,-0.1053610987137805,-0.4339489270141339,1.073421262945384,-0.4563550893411536,1
Enchanted Hearts,2020,71,0,Post-Graduate,male,Viewer,Retired,Romance,2019,137,Summer,9467,4.0,A masterpiece that redefines cinematic excellence.,6,20,36,1.31769789690092,1.3879078237449267,1.6016299891206816,-0.8507847257639313,1
Rolling on the Floor,2021,54,1,Post-Graduate,male,Viewer,Employed,Comedy,2015,129,Summer,410,3.6,Epic storytelling at its best.,5,21,32,0.3872362459220773,0.693867156789094,-1.5898219341412725,-1.04799954397532,1
Stolen Memories,2021,64,0,Completed College,female,Viewer,Employed,Drama,2003,109,Summer,3004,2.7,A movie that failed to deliver on its promises. Disappointing.,10,21,20,0.9345666288508082,-1.0412345106004874,-0.6757636047892234,-0.061925452918376,0
Guardians of Destiny,2020,80,0,Post-Graduate,female,Viewer,Retired,Action/Adventure,2004,119,Winter,374,1.8,Boring and dull.,3,20,21,1.8102952415367777,-0.1736836769056967,-1.6025074005470834,-1.4424291803980978,0
Journey to the Unknown,2021,77,0,Post-Graduate,male,Viewer,Retired,Action/Adventure,2000,107,Summer,2537,2.9,"It didn't leave a lasting impression, but it wasn't painful to watch.",14,21,17,1.6460961266581584,-1.2147446773394457,-0.8403222939979385,0.7269338199271791,0
Beneath the Surface,2020,80,0,Completed High School,female,Critic,Retired,Drama,2011,105,Fall,9202,3.6,A triumphant celebration of life and love.,7,20,28,1.8102952415367777,-1.3882548440784035,1.508250861411239,-0.6535699075525425,1
