title,review_year,age,children_in_home,education,gender,reviewer_type,work_status,genre,release_year,length_minutes,season,total_reviews,rating,review_text,word_count,review_year_0,release_year_0,age_sc,length_minutes_sc,total_reviews_sc,word_count_sc,rating_good
Endless Love,2016,41,0,Post-Graduate,male,Viewer,Employed,Romance,2016,147,Spring,3185,3.3,"Some parts were good, others were mediocre.",7,16,33,-0.3242932518852729,2.2554586574397173,-0.6119838986933401,-0.5314825369521267,1
Galactic Odyssey,2014,42,1,Post-Graduate,female,Critic,Employed,Sci-Fi,2010,113,Winter,3673,1.7,A film that was as dull as it was disappointing.,10,14,27,-0.26956021359239984,-0.6942141771225712,-0.44002535408123533,0.05492702937975282,0
Eternal Echoes,2022,31,1,Post-Graduate,male,Viewer,Employed,Drama,1992,136,Summer,7130,4.4,An emotional tour de force that left me moved.,9,22,9,-0.8716236348140038,1.3011527403754475,0.77813179494345,-0.14054282606420698,1
Midnight Shadows,2020,45,0,Post-Graduate,female,Critic,Employed,Horror,1995,140,Summer,4464,2.2,A film that left me bewildered and utterly uninterested.,9,20,12,-0.10536109871378055,1.6481730738533638,-0.16129746722022112,-0.14054282606420698,0
Love in the Air,2017,18,0,Completed High School,female,Viewer,Employed,Romance,2018,130,Summer,6969,4.5,A heartfelt and beautifully crafted cinematic journey.,7,17,35,-1.5831531326213542,0.7806222401585731,0.7213995701841285,-0.5314825369521267,1
Midnight Whispers,2017,64,0,Completed College,female,Viewer,Employed,Drama,2012,115,Summer,9341,4.2,A symphony of emotions that left me deeply touched.,9,17,29,0.9345666288508082,-0.520704010383613,1.557230856700343,-0.14054282606420698,1
Reflections of Reality,2012,60,0,Post-Graduate,male,Viewer,Employed,Other,2019,132,Summer,2599,3.4,"I was hoping for better, but it was decent enough.",10,12,36,0.7156344756793158,0.9541324068975312,-0.8184751018545973,0.05492702937975282,1
Journey to the Unknown,2020,73,0,Completed College,female,Viewer,Retired,Action/Adventure,2000,107,Summer,2537,3.1,A passable movie that didn't leave a strong impression.,10,20,17,1.4271639734866661,-1.2147446773394455,-0.8403222939979385,0.05492702937975282,1
Wanderlust,2014,41,1,Post-Graduate,female,Critic,Employed,Other,1998,112,Summer,3716,1.8,"I was excited to see this film, but it turned out to be a mess. The plot was incoherent, and the characters were forgettable.",24,14,15,-0.3242932518852729,-0.7809692604920502,-0.42487326920762775,2.7915050055951904,0
Futuristic Frontiers,2016,62,0,Completed College,female,Viewer,Employed,Sci-Fi,1988,120,Winter,2755,3.1,A movie that fell short of my expectations.,8,16,5,0.8251005522650621,-0.08692859353621762,-0.7635047474294162,-0.3360126815081668,1
Stellar Explorers,2018,21,0,Post-Graduate,female,Viewer,Employed,Sci-Fi,2013,98,Fall,8106,3,"I'm neutral about this one, neither good nor bad.",10,18,30,-1.4189540177427349,-1.9955404276647573,1.1220488841676597,0.05492702937975282,1
Visions of Valor,2010,60,0,Post-Graduate,male,Viewer,Employed,Action/Adventure,1987,120,Fall,2574,2.9,A mixed bag of emotions and storytelling.,7,10,4,0.7156344756793158,-0.08692859353621762,-0.8272844535252993,-0.5314825369521267,0
Mystic Shadows,2021,51,1,Completed High School,female,Critic,Employed,Drama,2010,120,Summer,1455,2.7,A misfire that lacked direction and substance. Avoid.,8,21,27,0.22303713104345801,-0.08692859353621762,-1.2215910343059249,-0.3360126815081668,0
Crimson Echoes,2019,67,0,Completed College,male,Critic,Employed,Drama,1995,139,Fall,955,2.1,A movie that left me utterly uninterested and unengaged.,9,19,12,1.0987657437294276,1.5614179904838847,-1.3977780677199667,-0.14054282606420698,0
Crimson Echoes,2013,65,0,Post-Graduate,female,Critic,Employed,Drama,1995,139,Fall,955,2,I don't know how this movie got made. It was a complete disaster from start to finish.,18,13,12,0.9892996671436813,1.5614179904838847,-1.3977780677199667,1.6186858729314313,0
Lost in Time,2016,23,0,Completed College,male,Viewer,Employed,Drama,2019,119,Summer,8311,4.3,A breathtaking masterpiece that speaks to the heart.,8,16,36,-1.3094879411569886,-0.1736836769056967,1.194285567867417,-0.3360126815081668,1
Eternal Sunshine,2021,55,0,Completed High School,male,Critic,Employed,Drama,2017,142,Summer,4603,2.9,An average journey that didn't fully engage me.,9,21,34,0.4419692842149504,1.821683240592322,-0.11231747193111749,-0.14054282606420698,0
Forgotten Realms,2014,80,0,Post-Graduate,male,Viewer,Employed,Drama,2013,129,Summer,3337,3.8,A film to remember.,4,14,30,1.8102952415367777,0.693867156789094,-0.5584230405354714,-1.1178921032840061,1
Lost in Time,2021,34,1,Post-Graduate,male,Critic,Employed,Drama,2019,119,Summer,8311,2.9,A film that didn't fully resonate with me.,9,21,36,-0.7074245199353846,-0.1736836769056967,1.194285567867417,-0.14054282606420698,0
The Hilarious Movie,2020,60,0,Completed College,female,Viewer,Employed,Comedy,2014,126,Winter,1399,2.7,This film was a disaster from start to finish. I can't believe I wasted two hours of my life on this garbage.,23,20,31,0.7156344756793158,0.4336019066806568,-1.2413239820482977,2.5960351501512307,0
Frozen in Time,2013,48,1,Post-Graduate,male,Viewer,Employed,Drama,1984,141,Winter,2736,3.6,A cinematic triumph!,3,13,1,0.05883801616483873,1.734928157222843,-0.7701998546991498,-1.313361958727966,1
Rise of the Phoenix,2022,43,0,Completed High School,female,Critic,Employed,Action/Adventure,2006,126,Winter,6613,2.3,An uninspired and forgettable mess that isn't worth your time.,11,22,23,-0.21482717529952675,0.4336019066806568,0.5959544023933308,0.25039688482371264,0
Innocence Lost,2021,59,0,Post-Graduate,female,Viewer,Employed,Drama,2011,131,Summer,3260,4,A cinematic triumph that left me in awe.,8,21,28,0.6609014373864428,0.8673773235280522,-0.5855558436812339,-0.3360126815081668,1
Secret of the Ancients,2018,65,0,Post-Graduate,female,Viewer,Student,Action/Adventure,2020,115,Summer,9029,4.3,Incredible performances throughout.,3,18,37,0.9892996671436813,-0.520704010383613,1.447290147849981,-1.313361958727966,1
Visions of Valor,2015,35,0,Completed College,male,Viewer,Employed,Action/Adventure,1987,120,Fall,2574,3.1,"It's a film that falls in between. Not remarkable, not terrible.",12,15,4,-0.6526914816425115,-0.08692859353621762,-0.8272844535252993,0.4458667402676725,1
In Search of Truth,2021,50,1,Post-Graduate,male,Critic,Employed,Other,2007,112,Summer,6040,2.2,A lackluster effort that fell flat in every conceivable way.,10,21,24,0.16830409275058492,-0.7809692604920502,0.39404406210083875,0.05492702937975282,0
Sweet Serenade,2017,60,0,Post-Graduate,male,Viewer,Employed,Romance,1996,118,Fall,3730,3.1,A neutral watch that didn't evoke strong emotions.,9,17,13,0.7156344756793158,-0.26043876027517576,-0.4199400322720346,-0.14054282606420698,1
Shattered Reflections,2011,20,0,Post-Graduate,female,Viewer,Employed,Drama,2017,125,Spring,2500,3.6,A captivating journey.,3,11,34,-1.473687056035608,0.3468468233111777,-0.8533601344705775,-1.313361958727966,1
Eternal Love,2022,74,0,Post-Graduate,female,Viewer,Unemployed,Romance,2014,108,Fall,997,2.8,"I can't say I was thrilled, but it wasn't terrible either. I found it to be just average.",20,22,31,1.4818970117795391,-1.1279895939699665,-1.3829783569131873,2.009625583819351,0
Joyful Journeys,2017,27,0,Post-Graduate,female,Viewer,Employed,Kids,2005,111,Spring,9030,3.3,"I can't say I was thrilled, but it wasn't terrible either.",13,17,22,-1.0905557879854961,-0.8677243438615293,1.447642521916809,0.6413365957116323,1
Broken Promises,2009,80,0,Post-Graduate,male,Viewer,Retired,Drama,2008,125,Fall,5560,3.4,A middle-of-the-road effort that didn't stand out.,11,9,25,1.8102952415367777,0.3468468233111777,0.2249045100233586,0.25039688482371264,1
Guardians of Destiny,2018,47,1,Completed High School,female,Critic,Employed,Action/Adventure,2004,119,Winter,374,1.8,A film that left me bewildered and completely unsatisfied.,9,18,21,0.004104977871965638,-0.1736836769056967,-1.6025074005470834,-0.14054282606420698,0
Dark Descent,2020,33,3,Completed College,male,Viewer,Employed,Horror,2015,111,Spring,2185,3.2,"I wouldn't rush to see it again, but it was okay.",12,20,32,-0.7621575582282577,-0.8677243438615293,-0.9643579655214238,0.4458667402676725,1
Edge of Eternity,2022,74,0,Post-Graduate,female,Viewer,Employed,Drama,2018,104,Winter,4137,3.1,"Not the best, but not the worst either.",8,22,35,1.4818970117795391,-1.4750099274478827,-0.2765237870730045,-0.3360126815081668,1
Midnight Shadows,2009,47,1,Completed High School,male,Viewer,Employed,Horror,1995,140,Summer,4464,3.7,What a treat! This movie exceeded all my expectations. A true cinematic marvel.,13,9,12,0.004104977871965638,1.6481730738533638,-0.16129746722022112,0.6413365957116323,1
Love in the Air,2021,79,0,Post-Graduate,female,Viewer,Retired,Romance,2018,130,Summer,6969,3.8,This film is a gem. It's a rollercoaster of emotions that I didn't want to end. Highly recommended!,20,21,35,1.7555622032439047,0.7806222401585731,0.7213995701841285,2.009625583819351,1
Midnight Shadows,2019,37,0,Completed High School,male,Critic,Unemployed,Horror,1995,140,Summer,4464,2.4,An agonizing viewing experience that I won't soon forget.,10,19,12,-0.5432254050567653,1.6481730738533638,-0.16129746722022112,0.05492702937975282,0
Lost in Time,2014,35,0,Completed College,female,Viewer,Employed,Drama,2019,119,Summer,8311,4.2,Absolutely outstanding!,2,14,36,-0.6526914816425115,-0.1736836769056967,1.194285567867417,-1.5088318141719257,1
Tales of Tiny Explorers,2020,41,0,Post-Graduate,female,Critic,Employed,Kids,2002,118,Fall,4368,1.7,A lackluster effort that fell flat in every conceivable aspect.,10,20,19,-0.3242932518852729,-0.26043876027517576,-0.19512537763571716,0.05492702937975282,0
Requiem for a Dream,2018,18,0,Completed High School,female,Viewer,Student,Drama,2008,128,Winter,3517,4.5,Cinematic excellence shines.,3,18,25,-1.5831531326213542,0.6071120734196149,-0.4949957085064164,-1.313361958727966,1
Eternal Echoes,2017,54,1,Completed High School,female,Viewer,Employed,Drama,1992,136,Summer,7130,4.3,A cinematic treasure that leaves you with a warm feeling. It's a must-watch for all ages.,18,17,9,0.3872362459220773,1.3011527403754475,0.77813179494345,1.6186858729314313,1
Love in the Air,2020,41,0,Completed College,male,Viewer,Employed,Romance,2018,130,Summer,6969,3.9,A visual and emotional masterpiece that left me speechless.,9,20,35,-0.3242932518852729,0.7806222401585731,0.7213995701841285,-0.14054282606420698,1
Legends Reborn,2019,18,0,Completed High School,female,Critic,Student,Action/Adventure,2008,116,Fall,5896,2.7,A disappointment from start to finish. Don't waste your time.,11,19,25,-1.5831531326213542,-0.4339489270141339,0.3433021964775947,0.25039688482371264,0
Rise of the Phoenix,2022,56,0,Post-Graduate,female,Viewer,Employed,Action/Adventure,2006,126,Winter,6613,3.5,An emotional masterpiece that moved me to tears.,8,22,23,0.4967023225078235,0.4336019066806568,0.5959544023933308,-0.3360126815081668,1
Forgotten Realms,2019,48,0,Post-Graduate,female,Critic,Employed,Drama,2013,129,Summer,3337,2.5,A total disappointment that I deeply regret watching.,8,19,30,0.05883801616483873,0.693867156789094,-0.5584230405354714,-0.3360126815081668,0
In Search of Truth,2004,49,0,Post-Graduate,male,Viewer,Retired,Other,2007,112,Summer,6040,3.1,A middle-of-the-road movie. It didn't stand out in any way.,14,4,24,0.11357105445771182,-0.7809692604920502,0.39404406210083875,0.836806451155592,1
Odyssey of Hope,2021,43,1,Completed High School,female,Viewer,Employed,Action/Adventure,2019,111,Summer,9797,4,Every frame felt like a work of art. A must-see.,11,21,36,-0.21482717529952675,-0.8677243438615293,1.7179134311739492,0.25039688482371264,1
In Search of Truth,2009,40,0,Completed College,female,Viewer,Employed,Other,2007,112,Summer,6040,3.5,"Wow, what a great film!",5,9,24,-0.379026290178146,-0.7809692604920502,0.39404406210083875,-0.9224222478400462,1
Lost Treasures,2021,30,0,Completed High School,female,Viewer,Employed,Action/Adventure,2009,144,Spring,4040,3.6,Laughing Waters is a cinematic masterpiece. The cinematography and storytelling were impeccable. This film is a true work of art.,20,21,26,-0.926356673106877,1.99519340733128,-0.31070407155532864,2.009625583819351,1
Eternal Echoes,2021,61,0,Post-Graduate,male,Critic,Employed,Drama,1992,136,Summer,7130,2.7,"I can't believe I wasted my time on this film. The characters were unlikable, and the story was boring.",20,21,9,0.7703675139721889,1.3011527403754475,0.77813179494345,2.009625583819351,0
Whispers in the Dark,2013,60,0,Post-Graduate,male,Critic,Employed,Horror,2020,130,Spring,2052,1.7,"I expected so much more from this film, but it fell flat. Boring and uninspired, it left me with a sense of wasted potential.",24,13,37,0.7156344756793158,0.7806222401585731,-1.011223716409559,2.7915050055951904,0
Realm of Illusions,2020,66,0,Post-Graduate,female,Viewer,Employed,Drama,2005,112,Summer,1520,3.5,An unforgettable experience.,3,20,22,1.0440327054365544,-0.7809692604920502,-1.1986867199620994,-1.313361958727966,1
Guardians of the Ancients,2020,24,1,Completed High School,male,Viewer,Employed,Action/Adventure,2014,116,Summer,3224,3.7,Powerful and poignant. A truly remarkable achievement.,7,20,31,-1.2547549028641154,-0.4339489270141339,-0.598241310087045,-0.5314825369521267,1
Chronicles of Courage,2016,25,1,Post-Graduate,female,Critic,Student,Action/Adventure,1995,132,Summer,1983,2.6,A complete letdown that I wouldn't wish upon anyone.,10,16,12,-1.2000218645712424,0.9541324068975312,-1.0355375270206968,0.05492702937975282,0
Wonderland Adventures,2022,61,0,Post-Graduate,female,Critic,Employed,Kids,2012,98,Spring,2160,1.2,Not worth watching.,3,22,29,0.7703675139721889,-1.9955404276647573,-0.9731673171921259,-1.313361958727966,0
Quest for Glory,2017,65,0,Completed High School,female,Viewer,Employed,Action/Adventure,2009,140,Spring,8533,3.7,What a treat! This movie exceeded all my expectations. A true cinematic marvel.,13,17,26,0.9892996671436813,1.6481730738533638,1.2725126107032514,0.6413365957116323,1
Enchanted Playtime,2019,36,0,Completed College,female,Critic,Retired,Kids,2004,131,Spring,1041,1.9,A movie that failed to deliver on its promises. Disappointing.,10,19,21,-0.5979584433496384,0.8673773235280522,-1.3674738979727517,0.05492702937975282,0
Whimsical Whispers,2009,27,1,Post-Graduate,female,Viewer,Employed,Comedy,2020,113,Summer,6627,3,An average journey that didn't evoke strong reactions.,9,9,37,-1.0905557879854961,-0.6942141771225712,0.6008876393289239,-0.14054282606420698,1
Shattered Reflections,2020,51,1,Post-Graduate,male,Viewer,Employed,Drama,2017,125,Spring,2500,3.7,Engaging and heartfelt.,3,20,34,0.22303713104345801,0.3468468233111777,-0.8533601344705775,-1.313361958727966,1
Quest for Imagination,2017,20,0,Post-Graduate,female,Critic,Employed,Kids,2005,122,Summer,3131,2,An absolute disaster that failed to hold my attention.,9,17,22,-1.473687056035608,0.08658157320274051,-0.6310120983020567,-0.14054282606420698,0
Sweet Serenade,2022,55,0,Post-Graduate,male,Viewer,Employed,Romance,1996,118,Fall,3730,3,An average journey that didn't evoke strong reactions.,9,22,13,0.4419692842149504,-0.26043876027517576,-0.4199400322720346,-0.14054282606420698,1
Under the Rainbow,2016,79,0,Post-Graduate,male,Viewer,Unemployed,Kids,1996,122,Summer,530,3,An average outing that left me with mixed feelings.,9,16,13,1.7555622032439047,0.08658157320274051,-1.5475370461219025,-0.14054282606420698,1
Raiders of the Unknown,2018,18,0,Completed High School,female,Viewer,Student,Action/Adventure,2018,121,Summer,6957,4.4,A phenomenal performance.,3,18,35,-1.5831531326213542,-1.7351016673855377e-4,0.7171710813821915,-1.313361958727966,1
The Hilarious Movie,2022,32,1,Post-Graduate,female,Viewer,Employed,Comedy,2014,126,Winter,1399,2.7,A movie that failed to deliver on its promises. Disappointing.,10,22,31,-0.8168905965211307,0.4336019066806568,-1.2413239820482977,0.05492702937975282,0
Love's Embrace,2016,59,0,Completed High School,female,Viewer,Employed,Romance,1983,112,Winter,9616,3.2,It's hard to form a strong opinion about it.,10,16,0,0.6609014373864428,-0.7809692604920502,1.654133725078066,0.05492702937975282,1
Shattered Reflections,2018,75,0,Completed College,female,Critic,Employed,Drama,2017,125,Spring,2500,2.2,A movie that failed to live up to its potential. Disappointing.,11,18,34,1.5366300500724122,0.3468468233111777,-0.8533601344705775,0.25039688482371264,0
Legends Reborn,2015,41,1,Post-Graduate,male,Viewer,Employed,Action/Adventure,2008,116,Fall,5896,3.4,"I wasn't blown away, but it was decent.",9,15,25,-0.3242932518852729,-0.4339489270141339,0.3433021964775947,-0.14054282606420698,1
Odyssey of Legends,2022,47,0,Completed High School,female,Critic,Employed,Action/Adventure,2011,117,Fall,7179,2,"Regret watching this, waste of time.",6,22,28,0.004104977871965638,-0.34719384364465483,0.7953981242180261,-0.7269523923960864,0
The Enigmatic Drama,2014,52,1,Post-Graduate,male,Critic,Employed,Drama,2018,118,Summer,5690,2.6,A movie that failed to deliver on its promises. Disappointing.,10,14,35,0.2777701693363311,-0.26043876027517576,0.2707131387110095,0.05492702937975282,0
Realm of Illusions,2019,70,0,Post-Graduate,male,Critic,Retired,Drama,2005,112,Summer,1520,2,A painful viewing experience that I won't soon forget.,10,19,22,1.2629648586080469,-0.7809692604920502,-1.1986867199620994,0.05492702937975282,0
Adventures of the Little Ones,2021,63,0,Completed College,female,Viewer,Employed,Kids,1997,124,Summer,8607,3.8,Instant classic material.,3,21,14,0.8798335905579351,0.26009173994169865,1.2985882916485296,-1.313361958727966,1
Innocence Lost,2020,39,0,Post-Graduate,male,Viewer,Employed,Drama,2011,131,Summer,3260,4,Utterly compelling and artistically captivating.,5,20,28,-0.4337593284710191,0.8673773235280522,-0.5855558436812339,-0.9224222478400462,1
Sweet Serenade,2019,37,0,Post-Graduate,male,Viewer,Employed,Romance,1996,118,Fall,3730,3.1,"It falls in the middle, not the best nor the worst.",11,19,13,-0.5432254050567653,-0.26043876027517576,-0.4199400322720346,0.25039688482371264,1
Legends Reborn,2014,50,1,Completed High School,female,Viewer,Employed,Action/Adventure,2008,116,Fall,5896,3.4,A film with potential that didn't quite soar.,9,14,25,0.16830409275058492,-0.4339489270141339,0.3433021964775947,-0.14054282606420698,1
Edge of Eternity,2021,29,1,Post-Graduate,female,Viewer,Employed,Drama,2018,104,Winter,4137,3.5,Cinematic excellence shines.,3,21,35,-0.98108971139975,-1.4750099274478827,-0.2765237870730045,-1.313361958727966,1
Cosmic Adventures,2018,18,0,Completed College,female,Critic,Employed,Sci-Fi,2012,119,Fall,8655,2.3,A disappointment from start to finish. Don't waste your time.,11,18,29,-1.5831531326213542,-0.1736836769056967,1.3155022468562776,0.25039688482371264,0
Raiders of the Unknown,2020,35,1,Completed College,male,Viewer,Unemployed,Action/Adventure,2018,121,Summer,6957,4.1,A captivating journey.,3,20,35,-0.6526914816425115,-1.7351016673855377e-4,0.7171710813821915,-1.313361958727966,1
