"movie_titles","genre","year_of_release","length_minutes","rating","review_time","review_day","review_month","review_season","review_year","review","character_count","word_count","user_age","gender","education_level","work_status","number_of_children_at_home"
"The Ethereal Emporium","Drama",2017,96,3.37,13:15:34,18,4,"spring",2019,"A masterpiece! Phenomenal storytelling, visuals, and performances.",66,7,41,"Male","Postgraduate Degree","Employed",3
"The Enchanted Alchemist","Action",2008,91,3.81,08:22:42,8,10,"fall",2011,"Moments of brilliance overshadowed by a lack of depth.",54,9,22,"Female","Some College","Employed",1
"The Serendipity Society","Comedy",2007,132,2.2,23:10:23,27,5,"spring",2008,"Captivated from start to finish. Outstanding performances.",58,7,38,"Female","College Graduate","Self-Employed",0
"Enchanted Enigma","Action",2004,63,5,03:15:46,21,4,"spring",2005,"Interesting concept but could have been executed better.",56,8,27,"Male","High School Graduate","Employed",2
"The Glass Labyrinth","Thriller",2007,107,1.75,10:47:43,18,12,"winter",2007,"Disappointed with predictable story and mediocre acting.",56,7,33,"Female","Some College","Employed",1
"Voyage to Lumos","Sci-Fi",2006,101,3.93,17:57:25,3,11,"fall",2007,"Exceeded expectations! Engaging storyline and superb performances.",66,7,22,"Male","Postgraduate Degree","Unemployed",0
"The Last Wanderer","Drama",2017,83,4.22,10:02:03,30,9,"fall",2017,"Mixed feelings. Great parts but others felt unnecessary.",56,8,40,"Female","High School Graduate","Employed",3
"Melody of the Stars","Action",2016,88,3.93,21:28:23,27,10,"fall",2017,"Enjoyable but lacked originality. Felt like a rehash.",53,8,30,"Male","Some College","Employed",1
"Timeless Odyssey","Sci-Fi",2001,73,5,20:30:54,21,5,"spring",2003,"A masterpiece! Phenomenal performances, visuals, and storytelling.",66,7,35,"Female","College Graduate","Self-Employed",0
"Midnight Mirage","Drama",2017,112,2.77,18:42:50,17,9,"fall",2020,"High hopes but didn't deliver. Disjointed and confusing.",56,8,26,"Male","High School Graduate","Employed",2
"Stargazer's Serenade","Comedy",2021,94,5,23:45:57,13,10,"fall",2022,"Completely immersed! Suspense and twists kept me on edge.",57,9,29,"Female","Postgraduate Degree","Employed",1
"Dreamer's Dawn","Sci-Fi",2002,110,2.66,00:33:06,13,10,"fall",2004,"Didn't resonate. One-dimensional characters and weak plot.",58,8,19,"Male","Some College","Unemployed",0
"Oracle's Quest","Thriller",2002,88,4.39,14:54:49,15,3,"spring",2004,"Beautifully crafted! Stunning performances and cinematography.",62,6,37,"Female","High School Graduate","Employed",3
"The Sapphire Heist","Sci-Fi",2010,105,3.34,02:58:03,26,9,"fall",2012,"Had its moments but lacked coherence. Enjoyable overall.",56,8,28,"Male","College Graduate","Self-Employed",2
"Symphony of Shadows","Drama",2007,89,3.54,10:46:15,4,4,"spring",2007,"Outstanding! Gripping storyline and powerful performances.",58,6,33,"Female","Postgraduate Degree","Employed",0
"Midnight Monarchs","Comedy",2020,110,2.62,06:00:31,5,9,"fall",2022,"Engaging but fell short of expectations. Needed more depth.",59,9,24,"Male","Some College","Employed",1
"The Ethereal Emporium","Drama",2017,96,4.54,03:28:10,13,1,"winter",2018,"Thought-provoking and emotionally charged. A must-watch.",56,8,42,"Female","College Graduate","Self-Employed",2
"Stargazer's Serenade","Comedy",2021,94,4.16,11:23:55,6,10,"fall",2021,"Disappointing movie with weak performances and predictable plot.",64,8,31,"Male","High School Graduate","Employed",0
"City of Stardust","Thriller",2010,72,4.94,04:17:48,14,8,"summer",2011,"An absolute masterpiece! Gripping story and stellar acting.",59,8,39,"Female","Postgraduate Degree","Employed",1
"Celestial Secrets","Action",2007,86,4.84,20:14:43,27,2,"winter",2007,"Mixed feelings about the film. Had its ups and downs.",53,10,23,"Male","Some College","Employed",3
"Symphony of Stardust","Sci-Fi",2013,110,2.86,01:34:02,7,7,"summer",2013,"A cinematic gem! Compelling story and outstanding performances.",63,8,34,"Female","High School Graduate","Self-Employed",0
"Moonlit Melodies","Action",2006,110,3.26,16:14:05,4,11,"fall",2009,"Interesting premise but lacked execution and depth.",51,7,27,"Male","College Graduate","Employed",1
"Echoes of Enchantment","Thriller",2009,113,1.99,00:35:05,29,6,"summer",2010,"Decent movie with some standout moments. Worth a watch.",55,9,38,"Female","Postgraduate Degree","Employed",2
"Solstice Sonata","Drama",2003,104,3.36,09:19:41,23,9,"fall",2003,"A cinematic triumph! Captivating storyline and brilliant acting.",64,8,32,"Male","Some College","Unemployed",0
"Midnight Mirage","Drama",2017,112,2.68,10:34:03,23,11,"fall",2018,"Didn't live up to the hype. Average plot and forgettable.",57,10,25,"Female","High School Graduate","Employed",1
"The Serendipity Society","Comedy",2007,132,1,09:01:02,5,1,"winter",2008,"An extraordinary film! Compelling story and exceptional performances.",69,8,41,"Male","Postgraduate Degree","Employed",3
"Moonlit Masquerade","Thriller",2003,92,3.26,08:52:43,7,10,"fall",2005,"Engaging but lacked depth. Characters felt underdeveloped.",58,7,29,"Female","College Graduate","Self-Employed",2
"Stargazer's Serenade","Comedy",2021,94,4.23,21:54:55,5,8,"summer",2021,"A gripping and emotionally charged journey. Highly recommended.",63,8,35,"Male","High School Graduate","Employed",0
"The Sapphire Heist","Sci-Fi",2010,105,3.2,04:37:44,27,11,"fall",2011,"Had its moments but failed to leave a lasting impression.",57,10,26,"Female","Postgraduate Degree","Employed",1
"Starlight Serenade","Comedy",2022,117,3.14,09:20:36,15,11,"fall",2022,"Masterfully crafted! Captivating story and outstanding performances.",68,7,30,"Male","Some College","Employed",2
"Midnight Monarchs","Comedy",2020,110,3.21,08:57:21,24,9,"fall",2022,"Disappointing movie with a lackluster plot and weak acting.",59,9,21,"Female","High School Graduate","Unemployed",0
"Moonlit Melodies","Action",2006,110,3.33,17:41:42,8,5,"spring",2009,"An absolute triumph! Gripping storyline and exceptional acting.",63,8,37,"Male","Postgraduate Degree","Employed",1
"The Enchanted Alchemist","Action",2008,91,5,06:52:33,31,5,"spring",2011,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",3
"Moonlit Masquerade","Thriller",2003,92,4.45,22:15:47,4,8,"summer",2003,"An absolute masterpiece! Compelling story and powerful performances.",68,8,33,"Male","College Graduate","Self-Employed",1
"Moonlit Masquerade","Thriller",2003,92,4.24,16:49:14,6,9,"fall",2006,"Had its moments but failed to fully engage. Average overall.",60,10,24,"Female","High School Graduate","Employed",2
"The Timekeeper's Tale","Drama",2004,112,2.32,13:16:56,26,10,"fall",2004,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","Postgraduate Degree","Employed",0
"Galaxy's Edge","Comedy",2007,82,3.98,05:17:09,3,6,"summer",2007,"Mixed feelings. Engaging parts but lacked coherence.",52,7,31,"Female","Some College","Employed",1
"Whispering Wonders","Action",2017,114,2.68,20:06:25,30,1,"winter",2018,"A captivating journey! Powerful story and stellar acting.",57,8,26,"Male","High School Graduate","Self-Employed",2
"The Crimson Crown","Comedy",2002,92,4.48,14:57:30,28,2,"winter",2004,"Enjoyable but forgettable. Didn't leave a lasting impression.",61,8,36,"Female","College Graduate","Employed",0
"The Forgotten Echo","Sci-Fi",2013,73,5,04:23:18,2,11,"fall",2016,"A cinematic triumph! Gripping story and exceptional acting.",59,8,29,"Male","Postgraduate Degree","Employed",1
"Galaxy's Edge","Comedy",2007,82,4.85,10:22:46,3,4,"spring",2009,"Disappointed with predictable plot and lack of originality.",59,8,22,"Female","Some College","Unemployed",3
"Dreamweaver's Delight","Thriller",2018,92,4.72,00:38:29,4,2,"winter",2019,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","High School Graduate","Employed",1
"Celestial Serenity","Action",2019,111,2.45,01:44:26,18,11,"fall",2022,"Engaging but lacked depth. Needed more character development.",61,8,34,"Female","Postgraduate Degree","Employed",2
"The Crimson Crown","Comedy",2002,92,5,01:52:18,30,1,"winter",2002,"A mesmerizing journey! Exceptional storytelling and brilliant acting.",69,8,25,"Male","College Graduate","Employed",0
"Stargazer's Serenade","Comedy",2021,94,3.88,10:27:52,7,9,"fall",2022,"Didn't live up to the hype. Lacked originality and depth.",57,10,41,"Female","Some College","Self-Employed",1
"City of Stardust","Thriller",2010,72,5,10:53:52,25,6,"summer",2013,"An absolute triumph! Gripping storyline and outstanding performances.",69,8,32,"Male","High School Graduate","Employed",3
"Mystical Moonrise","Thriller",2013,123,1.6,13:45:55,23,5,"spring",2013,"Enjoyable but forgettable. Needed more memorable moments.",57,7,27,"Female","Postgraduate Degree","Employed",2
"Enigma's Embrace","Action",2002,97,3.51,02:25:59,25,2,"winter",2002,"A cinematic gem! Compelling story and exceptional acting.",57,8,37,"Male","College Graduate","Self-Employed",0
"Whispers in the Wind","Sci-Fi",2018,77,5,19:36:35,5,2,"winter",2019,"Mixed feelings about the film. Some parts were captivating.",59,9,23,"Female","Some College","Employed",1
"The Crimson Crown","Comedy",2002,92,3.89,11:44:25,17,1,"winter",2005,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,40,"Male","High School Graduate","Employed",2
"The Lost Horizon","Action",2022,115,2.45,14:49:06,22,2,"winter",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,30,"Female","Postgraduate Degree","Employed",0
"Aetheria Rising","Sci-Fi",2013,99,2.79,01:31:20,26,1,"winter",2014,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",1
"Beyond the Veil","Action",2001,85,4.79,12:35:42,22,7,"summer",2001,"Engaging but fell short of expectations. Needed more depth.",59,9,28,"Female","College Graduate","Self-Employed",2
"The Crimson Crown","Comedy",2002,92,3.2,19:14:28,9,5,"spring",2004,"A mesmerizing journey! Exceptional storytelling and brilliant acting.",69,8,33,"Male","High School Graduate","Employed",3
"Mystical Moonrise","Thriller",2013,123,2.01,08:27:50,29,3,"spring",2014,"Didn't resonate. One-dimensional characters and weak plot.",58,8,26,"Female","Postgraduate Degree","Employed",0
"Mystique Manor","Sci-Fi",2021,129,1.06,20:43:51,2,11,"fall",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Some College","Employed",1
"Moonlit Masquerade","Thriller",2003,92,3.38,03:28:05,30,7,"summer",2005,"Enjoyable but lacked originality. Needed more surprises.",56,7,29,"Female","College Graduate","Self-Employed",2
"Aetheria Rising","Sci-Fi",2013,99,3.78,23:22:24,25,7,"summer",2016,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Employed",0
"Dreamer's Dawn","Sci-Fi",2002,110,2.05,09:03:06,16,8,"summer",2005,"Mixed feelings about the film. Some parts were captivating.",59,9,25,"Female","Postgraduate Degree","Employed",1
"Galaxy's Edge","Comedy",2007,82,5,13:00:28,16,11,"fall",2007,"A cinematic triumph! Compelling story and outstanding performances.",67,8,41,"Male","Some College","Employed",3
"Aetheria Rising","Sci-Fi",2013,99,3.86,16:13:17,30,6,"summer",2014,"Enjoyable but lacked depth. Needed more character development.",62,8,23,"Female","High School Graduate","Unemployed",0
"The Last Wanderer","Drama",2017,83,5,02:42:29,21,8,"summer",2019,"A mesmerizing journey! Exceptional storytelling and brilliant acting.",69,8,38,"Male","Postgraduate Degree","Self-Employed",1
"Moonlit Masquerade","Thriller",2003,92,3.25,12:41:07,15,11,"fall",2003,"Enjoyable but fell short of expectations. Needed more depth.",60,9,27,"Female","Some College","Employed",2
"The Moonlit Minstrel","Drama",2001,95,4.27,00:02:04,24,9,"fall",2001,"A cinematic gem! Gripping story and remarkable performances.",60,8,35,"Male","College Graduate","Employed",3
"Dreamer's Dawn","Sci-Fi",2002,110,2.32,08:46:39,12,3,"spring",2003,"Didn't resonate. One-dimensional characters and weak plot.",58,8,29,"Female","High School Graduate","Self-Employed",0
"Beyond the Veil","Action",2001,85,5,07:53:11,21,4,"spring",2004,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","Postgraduate Degree","Employed",1
"Legends of Lyria","Thriller",2007,113,2.34,16:24:47,22,2,"winter",2010,"Enjoyable but lacked originality. Needed more surprises.",56,7,24,"Female","Some College","Employed",2
"Whispering Wonders","Action",2017,114,1.05,01:21:29,12,6,"summer",2018,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Unemployed",3
"Aetheria Rising","Sci-Fi",2013,99,3.24,02:09:38,8,1,"winter",2013,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",0
"Oracle's Quest","Thriller",2002,88,4.31,06:13:32,11,10,"fall",2005,"A mesmerizing journey! Exceptional storytelling and brilliant acting.",69,8,26,"Male","Postgraduate Degree","Employed",1
"Dreamer's Dawn","Sci-Fi",2002,110,3.37,02:41:18,21,7,"summer",2004,"Enjoyable but lacked originality. Needed more surprises.",56,7,36,"Female","Some College","Self-Employed",2
"Beyond the Veil","Action",2001,85,4.61,10:20:26,28,3,"spring",2004,"A cinematic gem! Gripping story and remarkable performances.",60,8,30,"Male","High School Graduate","Employed",3
"Galaxy's Edge","Comedy",2007,82,4.83,21:03:33,30,6,"summer",2007,"Enjoyable but fell short of expectations. Needed more depth.",60,9,25,"Female","Postgraduate Degree","Employed",0
"Oracle's Quest","Thriller",2002,88,4.89,14:49:45,15,10,"fall",2003,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,39,"Male","Some College","Unemployed",1
"The Timekeeper's Tale","Drama",2004,112,2.86,20:26:58,16,2,"winter",2005,"Didn't resonate. One-dimensional characters and weak plot.",58,8,28,"Female","High School Graduate","Employed",2
"Echoes of Eternity","Drama",2004,110,2.77,21:41:19,25,4,"spring",2004,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Postgraduate Degree","Employed",3
"Solstice Sonata","Drama",2003,104,3,07:59:27,11,11,"fall",2006,"Enjoyable but lacked depth. Needed more character development.",62,8,23,"Female","Some College","Employed",0
"Celestial Serenity","Action",2019,111,2.36,20:16:50,28,7,"summer",2021,"A mesmerizing journey! Exceptional storytelling and brilliant acting.",69,8,40,"Male","College Graduate","Self-Employed",1
"Stargazer's Serenade","Comedy",2021,94,3.83,20:35:27,29,10,"fall",2022,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"Stargazer's Serenade","Comedy",2021,94,2.9,00:37:58,27,4,"spring",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,27,"Male","Postgraduate Degree","Employed",3
"Moonlit Masquerade","Thriller",2003,92,3.99,15:35:47,25,7,"summer",2005,"Enjoyable but lacked originality. Needed more surprises.",56,7,25,"Female","Some College","Self-Employed",0
"The Moonlit Minstrel","Drama",2001,95,3.6,04:45:46,16,5,"spring",2001,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Employed",1
"Celestial Serenity","Action",2019,111,2.29,06:26:50,6,8,"summer",2020,"Enjoyable but fell short of expectations. Needed more depth.",60,9,22,"Female","Postgraduate Degree","Employed",2
"The Last Wanderer","Drama",2017,83,5,10:19:13,19,11,"fall",2018,"A cinematic triumph! Compelling story and outstanding performances.",67,8,38,"Male","Some College","Employed",3
"Whispering Wonders","Action",2017,114,2.62,08:39:19,22,1,"winter",2019,"Enjoyable but lacked originality. Needed more surprises.",56,7,24,"Female","High School Graduate","Self-Employed",0
"Songbirds and Shadows","Comedy",2022,105,2.71,06:42:32,10,2,"winter",2022,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,37,"Male","Postgraduate Degree","Employed",1
"Enigma's Embrace","Action",2002,97,3.46,03:46:01,15,5,"spring",2004,"Didn't resonate. One-dimensional characters and weak plot.",58,8,29,"Female","Some College","Employed",2
"Midnight Mirage","Drama",2017,112,2.03,01:03:02,4,8,"summer",2019,"A cinematic triumph! Compelling story and outstanding performances.",67,8,33,"Male","High School Graduate","Unemployed",3
"The Timekeeper's Tale","Drama",2004,112,2.34,02:36:45,12,10,"fall",2006,"Enjoyable but lacked depth. Needed more character development.",62,8,26,"Female","Postgraduate Degree","Employed",0
"Galaxy's Edge","Comedy",2007,82,5,18:06:52,1,2,"winter",2010,"A mesmerizing journey! Exceptional storytelling and brilliant acting.",69,8,40,"Male","College Graduate","Employed",1
"Starlight Serenade","Comedy",2022,117,2.33,06:15:21,31,5,"spring",2022,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Self-Employed",2
"Timeless Odyssey","Sci-Fi",2001,73,4.83,00:26:44,8,3,"spring",2004,"A cinematic gem! Gripping story and remarkable performances.",60,8,36,"Male","Postgraduate Degree","Employed",3
"The Enchanted Empyrean","Comedy",2010,113,3.3,08:00:56,23,1,"winter",2010,"Enjoyable but lacked originality. Needed more surprises.",56,7,26,"Female","High School Graduate","Employed",0
"Whispering Wonders","Action",2017,114,2.4,22:31:16,12,7,"summer",2017,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,37,"Male","Some College","Employed",1
"Songbirds and Shadows","Comedy",2022,105,1.76,03:29:16,6,1,"winter",2022,"Didn't resonate. One-dimensional characters and weak plot.",58,8,29,"Female","Postgraduate Degree","Self-Employed",2
"Moonlit Melodies","Action",2006,110,2.6,03:26:15,8,4,"spring",2007,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","High School Graduate","Employed",3
"The Last Wanderer","Drama",2017,83,4.92,08:37:24,21,9,"fall",2020,"Enjoyable but fell short of expectations. Needed more depth.",60,9,24,"Female","Some College","Employed",0
"The Enchanted Cipher","Comedy",2021,80,5,03:49:17,10,2,"winter",2022,"A mesmerizing journey! Exceptional storytelling and brilliant acting.",69,8,40,"Male","Postgraduate Degree","Unemployed",1
"The Enchanted Alchemist","Action",2008,91,4.33,21:43:09,7,1,"winter",2008,"Engaging but lacked originality. Needed more surprises.",55,7,31,"Female","High School Graduate","Employed",2
"Solstice Sonata","Drama",2003,104,2.86,01:16:22,15,7,"summer",2006,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","College Graduate","Employed",3
"Timeless Odyssey","Sci-Fi",2001,73,5,09:16:21,2,6,"summer",2002,"Enjoyable but fell short of expectations. Needed more depth.",60,9,25,"Female","Some College","Self-Employed",0
"Enigma's Embrace","Action",2002,97,4.39,15:35:22,15,3,"spring",2003,"A cinematic triumph! Compelling story and outstanding performances.",67,8,39,"Male","Postgraduate Degree","Employed",1
"The Moonlit Minstrel","Drama",2001,95,4.46,04:04:39,3,9,"fall",2004,"Didn't resonate. One-dimensional characters and weak plot.",58,8,29,"Female","High School Graduate","Employed",2
"Celestial Serenity","Action",2019,111,2.25,13:20:09,3,9,"fall",2020,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,35,"Male","Some College","Unemployed",3
"Starlight Serenade","Comedy",2022,117,2.77,13:43:04,22,8,"summer",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,24,"Female","Postgraduate Degree","Employed",0
"Solstice Sonata","Drama",2003,104,3.61,12:39:31,6,2,"winter",2006,"A mesmerizing journey! Exceptional storytelling and brilliant acting.",69,8,39,"Male","College Graduate","Employed",1
"The Enigmatic Enclave","Comedy",2021,109,2.11,18:10:34,15,2,"winter",2021,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Self-Employed",2
"Songbirds and Shadows","Comedy",2022,105,3.81,14:48:33,2,5,"spring",2022,"A cinematic triumph! Compelling story and outstanding performances.",67,8,36,"Male","High School Graduate","Employed",3
"Whispering Whims","Drama",2022,109,2.35,11:39:47,1,1,"winter",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,25,"Female","Postgraduate Degree","Employed",0
"Moonlit Melodies","Action",2006,110,2.92,02:48:20,23,12,"winter",2006,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,40,"Male","Some College","Employed",1
"The Last Wanderer","Drama",2017,83,4.65,05:25:03,8,4,"spring",2020,"Didn't resonate. One-dimensional characters and weak plot.",58,8,31,"Female","High School Graduate","Self-Employed",2
"Midnight Monarchs","Comedy",2020,110,3.19,00:38:12,11,6,"summer",2021,"A cinematic triumph! Compelling story and outstanding performances.",67,8,34,"Male","Postgraduate Degree","Employed",3
"The Crimson Crown","Comedy",2002,92,3.85,11:06:08,11,1,"winter",2002,"Enjoyable but lacked depth. Needed more character development.",62,8,23,"Female","Some College","Employed",0
"Melody of the Stars","Action",2016,88,3.84,11:08:21,8,11,"fall",2016,"A mesmerizing journey! Exceptional storytelling and brilliant acting.",69,8,40,"Male","College Graduate","Self-Employed",1
"Whispering Wonders","Action",2017,114,3.09,05:14:03,27,3,"spring",2018,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","High School Graduate","Employed",2
"Songbirds and Shadows","Comedy",2022,105,2.72,15:37:10,17,5,"spring",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,36,"Male","Postgraduate Degree","Employed",3
"The Arcane Masquerade","Comedy",2007,109,2.31,06:48:49,31,3,"spring",2008,"Enjoyable but lacked originality. Needed more surprises.",56,7,29,"Female","Some College","Employed",0
"Voyage to Lumos","Sci-Fi",2006,101,5,23:28:02,28,3,"spring",2009,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,35,"Male","High School Graduate","Unemployed",1
"The Forgotten Echo","Sci-Fi",2013,73,4.9,06:14:57,18,2,"winter",2014,"Didn't resonate. One-dimensional characters and weak plot.",58,8,25,"Female","Postgraduate Degree","Employed",2
"The Arcane Masquerade","Comedy",2007,109,3.58,03:10:30,15,5,"spring",2008,"A cinematic triumph! Compelling story and outstanding performances.",67,8,41,"Male","Some College","Employed",3
"Solstice Sonata","Drama",2003,104,2.82,23:36:01,11,3,"spring",2006,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Self-Employed",0
"Dreamer's Dawn","Sci-Fi",2002,110,3.14,02:57:57,15,11,"fall",2002,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"The Enchanted Cipher","Comedy",2021,80,4.93,17:28:41,27,8,"summer",2021,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"The Lost Horizon","Action",2022,115,1.65,22:02:45,24,11,"fall",2022,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,35,"Male","High School Graduate","Employed",3
"City of Stardust","Thriller",2010,72,5,16:37:08,22,10,"fall",2011,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Unemployed",0
"Symphony of Shadows","Drama",2007,89,5,03:04:40,24,5,"spring",2010,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Whispering Whims","Drama",2022,109,3.26,11:39:49,12,4,"spring",2022,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"Beyond the Veil","Action",2001,85,4.57,21:23:41,5,7,"summer",2001,"A mesmerizing journey! Exceptional storytelling and brilliant acting.",69,8,26,"Male","Postgraduate Degree","Self-Employed",3
"Whispers in the Wind","Sci-Fi",2018,77,5,22:38:26,20,10,"fall",2021,"Enjoyable but lacked originality. Needed more surprises.",56,7,29,"Female","Some College","Employed",0
"The Enigmatic Enclave","Comedy",2021,109,2.56,01:42:14,14,6,"summer",2021,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Employed",1
"Enigma's Embrace","Action",2002,97,4.01,18:07:30,22,11,"fall",2003,"Didn't resonate. One-dimensional characters and weak plot.",58,8,25,"Female","Postgraduate Degree","Employed",2
"Celestial Serenity","Action",2019,111,2.29,21:12:20,11,7,"summer",2019,"A cinematic triumph! Compelling story and outstanding performances.",67,8,40,"Male","Some College","Unemployed",3
"The Enchanted Alchemist","Action",2008,91,4.54,15:42:48,21,4,"spring",2009,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Employed",0
"Whispering Wonders","Action",2017,114,2.67,04:01:37,18,9,"fall",2018,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Self-Employed",1
"Aetheria Rising","Sci-Fi",2013,99,4.53,21:03:07,26,7,"summer",2014,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Oracle's Quest","Thriller",2002,88,3.69,18:11:49,13,6,"summer",2003,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,35,"Male","High School Graduate","Employed",3
"Solstice Sonata","Drama",2003,104,3.36,03:49:02,6,2,"winter",2004,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Dreamweaver's Delight","Thriller",2018,92,3.9,21:49:17,18,8,"summer",2021,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Self-Employed",1
"Timeless Odyssey","Sci-Fi",2001,73,5,12:56:13,7,10,"fall",2002,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"Starlight Serenade","Comedy",2022,117,2.8,08:40:16,14,6,"summer",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,27,"Male","Postgraduate Degree","Employed",3
"Whispering Whims","Drama",2022,109,2.91,21:20:25,28,6,"summer",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,26,"Female","Some College","Employed",0
"Whispering Whims","Drama",2022,109,2.26,01:59:15,21,1,"winter",2022,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,40,"Male","High School Graduate","Employed",1
"The Enchanted Alchemist","Action",2008,91,4.02,23:25:14,24,4,"spring",2008,"Didn't resonate. One-dimensional characters and weak plot.",58,8,29,"Female","Postgraduate Degree","Self-Employed",2
